"","HIGH","LOW","MOD"
" ENSG00000126368.6|NR1D1",0,0,0
" ENSG00000112062.12|MAPK14",5.37213772973584e-06,2.32175803526956e-06,1.05205373579498e-06
" ENSG00000196781.16|TLE1",6.95313580189039e-05,0.000147262250966507,8.0314889283617e-06
" ENSG00000111801.16|BTN3A3",3.45469497504691e-05,3.64778389053861e-06,1.1021729786953e-05
" ENSG00000041988.16|THAP3",2.14220098299078e-05,5.1717758162706e-06,2.03802793052876e-06
" ENSG00000133477.17|FAM83F",5.04822573793584e-05,1.09366467171412e-06,1.56024144275798e-06
" ENSG00000109906.15|ZBTB16",0.00106562027085699,5.36267300571547e-05,1.62395890431766e-05
" ENSG00000185340.16|GAS2L1",5.164031284699e-06,7.67928488809992e-07,1.79025829227797e-06
" ENSG00000007944.15|MYLIP",2.77527557805938e-06,3.23412678825592e-07,0.000106343463877589
" ENSG00000164035.10|EMCN",1.03507757953647e-06,1.77548232893621e-07,2.7468598762237e-07
" ENSG00000135837.17|CEP350",2.99719204278532e-06,3.74542434244951e-06,1.35255854061267e-06
" ENSG00000278931.1|ENSG00000278931",8.81275112907254e-05,1.54926104656153e-05,4.26450642809773e-06
" ENSG00000125968.9|ID1",9.78957294356375e-05,1.18612775876982e-05,1.34638222548666e-06
" ENSG00000139372.15|TDG",6.24529948785785e-06,1.27992159815182e-06,8.95237386557834e-05
" ENSG00000136160.17|EDNRB",1.25225953466636e-05,4.09564839054521e-06,4.93056005956838e-06
" ENSG00000179922.6|ZNF784",0.00082032758586903,1.39915825037029e-05,7.97460391182847e-06
" ENSG00000181631.7|P2RY13",0.00301695221862597,0.000603492969245112,2.27328073090227e-05
" ENSG00000149577.17|SIDT2",2.06762228093373e-05,0.00117986161994199,5.30173121360278e-06
" ENSG00000166997.8|CNPY4",5.65121920619305e-05,5.55323861923787e-05,5.00849180085083e-06
" ENSG00000177685.17|CRACR2B",0.000144391424220069,2.15142432464788e-05,5.04642596963688e-06
" ENSG00000134317.18|GRHL1",0.000345885579048992,6.4636947820169e-05,2.49021033815744e-06
" ENSG00000145743.18|FBXL17",2.39467489268597e-05,6.85566083447053e-06,5.17803885327021e-06
" ENSG00000153933.10|DGKE",9.23317119538858e-07,5.82704364759934e-08,3.43937803903849e-07
" ENSG00000143320.9|CRABP2",0.00118300049866082,9.25894764837176e-05,1.90062049474373e-05
" ENSG00000074695.6|LMAN1",5.60549055150978e-06,6.33150265105797e-07,1.00564084686175e-06
" ENSG00000138069.18|RAB1A",3.27017272169082e-06,2.07535798169012e-06,5.86035574834387e-06
" ENSG00000174840.9|PDE12",1.3124750390433e-05,2.18865810985847e-06,5.32211679051819e-05
" ENSG00000189223.15|PAX8-AS1",0.000495900677700535,0.000663678919112802,2.98751953561475e-05
" ENSG00000117245.13|KIF17",2.60781073668781e-05,3.56432376824589e-06,2.06065416741286e-06
" ENSG00000038295.8|TLL1",9.79308993120931e-07,4.12773373259512e-08,1.73569037364985e-07
" ENSG00000134262.13|AP4B1",0.000107322154905498,5.23824515914742e-05,2.43621523768644e-05
" ENSG00000100365.16|NCF4",0.00782693227474147,0.000166050202526143,2.08387780425978e-05
" ENSG00000136842.14|TMOD1",0.00025103001499422,0.000206089404373722,1.29757432149168e-05
" ENSG00000152689.18|RASGRP3",0.000892627636731924,6.35872057571651e-05,1.68885927571961e-05
" ENSG00000163590.14|PPM1L",3.41395512601642e-05,2.06618917983903e-05,3.56163350145214e-06
" ENSG00000158517.16|NCF1",0.000485393018546547,3.38725915297749e-06,1.1260730264917e-06
" ENSG00000137492.9|THAP12",6.37591852798129e-05,0.000748576179412268,3.41014970950404e-06
" ENSG00000134851.13|TMEM165",6.46242466793229e-05,0.000384855762729192,2.685010168757e-06
" ENSG00000102580.15|DNAJC3",9.02467323371254e-06,2.23032613515423e-06,6.64584363474496e-06
" ENSG00000233608.5|TWIST2",0.000117526277622404,1.26170305930762e-05,4.70608035374465e-06
" ENSG00000141699.11|RETREG3",1.99052368206054e-05,6.92090604470508e-06,5.50783351194184e-06
" ENSG00000132361.18|CLUH",0.000384589336791641,9.72155239507e-05,3.08231899812533e-05
" ENSG00000120658.14|ENOX1",0.000223779685804559,9.32509347295607e-06,3.51466098549738e-06
" ENSG00000102786.15|INTS6",4.97289863056336e-06,2.65888742034814e-06,2.91716815936649e-06
" ENSG00000048405.11|ZNF800",6.19704108160355e-05,0.00014885407182468,6.86744873588916e-06
" ENSG00000162878.13|PKDCC",2.41791597536123e-05,1.82313967541647e-05,2.39347203956353e-06
" ENSG00000189221.11|MAOA",9.16079229317681e-05,6.78280075595561e-05,2.45511465721826e-05
" ENSG00000018625.15|ATP1A2",1.23676759014818e-05,1.10364652117223e-05,2.45724583114448e-06
" ENSG00000099337.5|KCNK6",0.000219593103021166,1.84504072631153e-06,3.60321384196283e-06
" ENSG00000153147.6|SMARCA5",2.35342949541092e-05,0.000141649309651626,1.08024823242125e-06
" ENSG00000253389.2|ENSG00000253389",8.1893415869283e-05,1.58573468404997e-06,2.54368970098451e-06
" ENSG00000257335.8|MGAM",0.00576455625847983,9.04334452166293e-06,2.85106786868106e-06
" ENSG00000134470.21|IL15RA",3.67331822858164e-05,1.18542756437634e-05,8.57979740886972e-06
" ENSG00000100100.13|PIK3IP1",7.52622525368452e-06,5.78743411638882e-07,1.1222315829619e-05
" ENSG00000100060.18|MFNG",0.000212620384072104,1.37026422555309e-05,3.1530168531857e-05
" ENSG00000140848.17|CPNE2",9.98733463865031e-05,0.00412758101805238,9.80242031833889e-06
" ENSG00000159450.13|TCHH",0.000563906609178672,1.32724332558991e-05,6.06954612293756e-06
" ENSG00000204371.12|EHMT2",4.63785730124844e-05,8.30452181510566e-06,3.24884317008347e-05
" ENSG00000066056.14|TIE1",2.16903667069612e-05,3.60636864982222e-06,5.09549244243068e-06
" ENSG00000130024.15|PHF10",5.31336778830929e-06,1.75489528841943e-06,0.000157034397978539
" ENSG00000156374.16|PCGF6",4.34874559365566e-06,1.77219051844535e-06,4.9030687359064e-06
" ENSG00000115977.21|AAK1",3.38950541289365e-05,0.00091361289536962,1.14258410067736e-05
" ENSG00000150907.10|FOXO1",4.57932499297393e-06,3.83217776859457e-07,3.86394514495514e-06
" ENSG00000291023.1|ULK4P1",0.000209343672654128,1.93115868756765e-06,7.72906662382944e-06
" ENSG00000116833.14|NR5A2",0.00095787116345869,2.47361787253375e-05,1.9117968804605e-05
" ENSG00000008311.16|AASS",5.56750527697828e-05,1.68361332206768e-05,2.02391510716327e-05
" ENSG00000113580.15|NR3C1",3.64817327675565e-06,6.04148066252197e-06,1.07686434169807e-06
" ENSG00000159339.13|PADI4",0.00982688270312128,2.35237982310283e-05,3.60294280354889e-06
" ENSG00000111897.7|SERINC1",9.4762698426154e-06,2.9049809924242e-06,0.00202919744490893
" ENSG00000126822.18|PLEKHG3",4.59410036789398e-05,1.98488427281215e-05,1.23282000230596e-06
" ENSG00000274286.2|ADRA2B",0.000639569161166031,3.59803779161894e-05,1.1874348831431e-05
" ENSG00000166233.15|ARIH1",5.25599015449464e-06,7.33312667033914e-07,1.05687863166043e-05
" ENSG00000100647.8|SUSD6",0.000369848030078534,0.000171313296413512,2.16297930225595e-05
" ENSG00000170185.11|USP38",1.6441939598513e-05,5.85734657164934e-06,1.1776535875363e-06
" ENSG00000164104.12|HMGB2",8.42974751902315e-06,6.75329535737568e-07,1.8694267346353e-06
" ENSG00000076248.12|UNG",0.000160483857758686,0.00031389191688882,3.86987056641887e-05
