"","Var1","Var2","bicor","pval","obs","sig"
"372","Max_HR","ME13",0.0637585425336216,0.677341641312521,45,""
"373","VO2peak","ME13",0.293764263819048,0.0501559482697694,45,""
"374","VO2peak_kg_min","ME13",-0.015728779816382,0.918320920240243,45,""
"375","VO2peak_kgLM_min","ME13",-0.089399517539025,0.559216533283086,45,""
"376","RMR","ME13",0.285679191195713,0.0601334156859847,44,""
"377","Fat_OX","ME13",0.169147509721474,0.272366268013018,44,""
"378","CHO_OX","ME13",0.033365263286264,0.829760731101798,44,""
"379","HOMA_IR","ME13",0.0365236822974881,0.811731300162052,45,""
"380","Adipo_IR","ME13",-0.183932981849533,0.226474450116982,45,""
"381","Glucose","ME13",0.182048168179065,0.231351869815893,45,""
"382","Insulin","ME13",-0.0129642473325738,0.932640589487443,45,""
"383","NEFA","ME13",-0.257661523420698,0.0874892368285239,45,""
"384","Glycerol","ME13",-0.237129439974036,0.116784743474408,45,""
"385","Triglyceride","ME13",0.111114659599076,0.472719696677562,44,""
"386","Lactate","ME13",0.0550570053124614,0.719435624667723,45,""
"387","Cortisol","ME13",-0.111374768758591,0.471677442650406,44,""
"388","IFNg","ME13",-0.046852362725043,0.759894937457443,45,""
"389","IL10","ME13",-0.241952695891994,0.118013873295542,43,""
"390","IL1b","ME13",-0.21069558186937,0.164751252734045,45,""
"391","IL6","ME13",-0.18343928103684,0.277136485077674,37,""
"392","TNFa","ME13",0.111112640884576,0.467442725628055,45,""
"393","FCS_mean","ME13",0.341925319144679,0.0215086969690104,45,"*"
"394","SR","ME13",-0.185958519735077,0.221312268384327,45,""
"395","CD14_per_adipocyte","ME13",-0.0305058531148741,0.8441615617593,44,""
"396","CD206_per_adipocyte","ME13",-0.113579682436782,0.462891622081487,44,""
"397","Age","ME10",-0.0290293749388533,0.849861703976939,45,""
"398","Sex","ME10",-0.299954471544387,0.0452962399770087,45,"*"
