"","Var1","Var2","bicor","pval","obs","sig"
"91","HOMA_IR","ME11",0.210033415722616,0.166113152254247,45,""
"92","Adipo_IR","ME11",0.238814309363158,0.114132000024301,45,""
"93","Glucose","ME11",0.0920403748707912,0.547620356907655,45,""
"94","Insulin","ME11",0.234042087381517,0.121766465962935,45,""
"95","NEFA","ME11",0.17401509588947,0.252943829489922,45,""
"96","Glycerol","ME11",0.205933354813264,0.174728097027961,45,""
"97","Triglyceride","ME11",0.0673651611802894,0.663939910672545,44,""
"98","Lactate","ME11",0.190801098034073,0.209302068417749,45,""
"99","Cortisol","ME11",0.310082618063296,0.0405170890939308,44,"*"
"100","IFNg","ME11",0.00890829881752421,0.953686365674522,45,""
"101","IL10","ME11",0.132560923897906,0.396775365301031,43,""
"102","IL1b","ME11",0.242848898958871,0.107965883995585,45,""
"103","IL6","ME11",0.0305474854523786,0.85756297915874,37,""
"104","TNFa","ME11",-0.262922420823009,0.0809932434948726,45,""
"105","FCS_mean","ME11",0.0303999500756803,0.842860277336047,45,""
"106","SR","ME11",-0.132439651671378,0.385799083170445,45,""
"107","CD14_per_adipocyte","ME11",0.378981441112171,0.0111829648496714,44,"*"
"108","CD206_per_adipocyte","ME11",0.0157396671211844,0.91922842418741,44,""
"109","Age","ME1",-0.0091798479545327,0.952276201538911,45,""
"110","Sex","ME1",0.599035203091501,1.37754907390916e-05,45,"***"
"111","Bodyweight","ME1",-0.422931346848587,0.00379814713680362,45,"**"
"112","Lean_mass","ME1",-0.418688377965139,0.00420436624465758,45,"**"
"113","Fat_mass","ME1",0.00347240253091923,0.981938915233085,45,""
"114","BodyFat","ME1",0.140789085090152,0.356282839016403,45,""
"115","BMI","ME1",-0.208739439715196,0.16879805521484,45,""
"116","Waist_circumference","ME1",-0.53854588129725,0.000135505486815949,45,"***"
"117","SBP","ME1",0.00237055032337686,0.98766946127873,45,""
"118","DBP","ME1",-0.162575476682518,0.285963399334963,45,""
"119","Resting_HR","ME1",0.0350745402795388,0.819073763329126,45,""
"120","Max_HR","ME1",-0.260978524990637,0.0833480131188011,45,""
"121","VO2peak","ME1",-0.278723027077315,0.0637324373805093,45,""
"122","VO2peak_kg_min","ME1",0.0519344190181482,0.734751520200174,45,""
"123","VO2peak_kgLM_min","ME1",0.162939491899293,0.284871336433075,45,""
"124","RMR","ME1",-0.234473090072584,0.125525120017167,44,""
"125","Fat_OX","ME1",-0.162517061536572,0.291878829720538,44,""
"126","CHO_OX","ME1",-0.00328624661900253,0.983109257149726,44,""
"127","HOMA_IR","ME1",0.00194948794682256,0.989859512719434,45,""
"128","Adipo_IR","ME1",0.156144954105216,0.305704763046224,45,""
"129","Glucose","ME1",-0.0872927938613124,0.568548939553846,45,""
"130","Insulin","ME1",0.0360733466425161,0.814011366704994,45,""
"131","NEFA","ME1",0.141419385764461,0.354111909533329,45,""
"132","Glycerol","ME1",0.147114029181305,0.334865109021015,45,""
"133","Triglyceride","ME1",-0.290573464233736,0.0556876972029602,44,""
"134","Lactate","ME1",-0.0519616200234533,0.734617652340143,45,""
"135","Cortisol","ME1",-0.0209188265150382,0.89278599470492,44,""
"136","IFNg","ME1",0.118957556770947,0.43638892553305,45,""
"137","IL10","ME1",0.0636225869047689,0.685243349711699,43,""
"138","IL1b","ME1",0.247356069559734,0.101381942798093,45,""
"139","IL6","ME1",-0.0225644256656916,0.894541476042228,37,""
"140","TNFa","ME1",-0.0995882926219797,0.515123701889865,45,""
"141","FCS_mean","ME1",-0.326311955978667,0.028695921617869,45,"*"
"142","SR","ME1",0.266308452512266,0.0770162531872775,45,""
"143","CD14_per_adipocyte","ME1",0.214302625725872,0.162446869283793,44,""
"144","CD206_per_adipocyte","ME1",0.03125160410486,0.840400699706855,44,""
"145","Age","ME2",-0.0888897468142965,0.561468133822018,45,""
"146","Sex","ME2",0.0802266873976974,0.600363181687714,45,""
"147","Bodyweight","ME2",-0.0279879440494694,0.855189411743713,45,""
"148","Lean_mass","ME2",-0.111961278334856,0.464027506416993,45,""
"149","Fat_mass","ME2",0.228313774556857,0.13143173139383,45,""
"150","BodyFat","ME2",0.18142180513692,0.232988551904572,45,""
"151","BMI","ME2",0.0275067347352359,0.857653329382624,45,""
"152","Waist_circumference","ME2",0.0357081542215696,0.815861467571769,45,""
"153","SBP","ME2",0.0591802207254353,0.699377950566782,45,""
"154","DBP","ME2",-0.0279025737734622,0.855626431225315,45,""
"155","Resting_HR","ME2",0.16153330274684,0.289105041069026,45,""
"156","Max_HR","ME2",0.0810795579031983,0.596482308432229,45,""
"157","VO2peak","ME2",-0.00710119035590734,0.963074101559153,45,""
"158","VO2peak_kg_min","ME2",0.0306796916392773,0.84143270236274,45,""
"159","VO2peak_kgLM_min","ME2",0.150974399307429,0.322195191464253,45,""
"160","RMR","ME2",-0.151616664198772,0.325876599019163,44,""
"161","Fat_OX","ME2",-0.0299063504317096,0.847187374494857,44,""
"162","CHO_OX","ME2",-0.0989119977439816,0.522960123591446,44,""
"163","HOMA_IR","ME2",0.131114717187347,0.390611709960517,45,""
"164","Adipo_IR","ME2",0.0428303998496615,0.779969991675368,45,""
"165","Glucose","ME2",-0.112842679643341,0.46049466984366,45,""
"166","Insulin","ME2",0.157618658532428,0.301105400099809,45,""
"167","NEFA","ME2",-0.04078233907631,0.790248151971301,45,""
"168","Glycerol","ME2",0.176815720443635,0.245267544965716,45,""
"169","Triglyceride","ME2",0.0205482077579192,0.894674736018487,44,""
"170","Lactate","ME2",0.111021258058988,0.467811282421026,45,""
"171","Cortisol","ME2",0.0692060108416215,0.655322043044633,44,""
"172","IFNg","ME2",0.0831985708050322,0.586888083482097,45,""
"173","IL10","ME2",0.230167920876096,0.137582193478306,43,""
"174","IL1b","ME2",0.185480152899054,0.222524007639571,45,""
"175","IL6","ME2",0.194975936319866,0.247506875802248,37,""
"176","TNFa","ME2",0.244726003002046,0.105185287286867,45,""
"177","FCS_mean","ME2",0.00849514099433367,0.955832175552907,45,""
"178","SR","ME2",0.0588151437531978,0.701145985367147,45,""
"179","CD14_per_adipocyte","ME2",0.101841496247837,0.510662793493823,44,""
"180","CD206_per_adipocyte","ME2",0.123638402273914,0.423948846797806,44,""
"181","Age","ME9",0.0800578698271971,0.601132667229013,45,""
"182","Sex","ME9",0.173368489057912,0.254738813794489,45,""
"183","Bodyweight","ME9",-0.171030940795048,0.261299030549484,45,""
"184","Lean_mass","ME9",-0.0011816362550245,0.993853481222644,45,""
"185","Fat_mass","ME9",-0.277851119281895,0.0646013489201256,45,""
"186","BodyFat","ME9",-0.251702955072679,0.0953286133941604,45,""
"187","BMI","ME9",-0.171601796531644,0.25968665238741,45,""
"188","Waist_circumference","ME9",-0.310895690449916,0.0376461471850986,45,"*"
"189","SBP","ME9",0.0132573135917566,0.931121494925807,45,""
